Date,Sentiment,Price
2023-01-01,Greed,52875.46497011577
2023-01-02,Greed,49418.426331830386
2023-01-03,Greed,50085.26471515268
2023-01-04,Greed,53539.44692887633
2023-01-05,Fear,33672.10601621362
2023-01-06,Fear,26497.060673516964
2023-01-07,Fear,34464.54915351343
2023-01-08,Greed,56360.75377298747
2023-01-09,Fear,32434.621217165575
2023-01-10,Neutral,42469.95590718574
2023-01-11,Fear,
2023-01-12,Fear,
2023-01-13,Neutral,
2023-01-14,Greed,
2023-01-15,Neutral,
2023-01-16,Fear,
2023-01-17,Greed,49039.48538339171
2023-01-18,Fear,37689.95060599336
2023-01-19,Neutral,43727.046599327645
2023-01-20,Neutral,45133.658931245984
2023-01-21,,28764.093068007824
2023-01-22,,31827.878874461905
2023-01-23,,56373.232425721835
2023-01-24,,35350.67604432316
2023-01-25,,51289.24614758569
2023-01-26,,46029.13930027948
2023-01-27,Greed,54309.863128349476
2023-01-28,Greed,56040.44577089095
2023-01-29,Greed,56495.08974324873
2023-01-30,Neutral,42216.34832109076
2023-01-31,Fear,39626.243802038334
2023-02-01,Neutral,45538.094882576566
2023-02-02,Greed,49855.88141265938
2023-02-03,Fear,37323.009510552176
2023-02-04,Neutral,43932.252974980955
2023-02-05,Neutral,45685.44723179043
2023-02-06,Neutral,43161.71597967149
2023-02-07,Fear,36612.77272319752
2023-02-08,Neutral,44834.86994212911
2023-02-09,Fear,34901.03879538753
2023-02-10,Neutral,44146.2371552694
2023-02-11,Fear,33726.82506907401
2023-02-12,Neutral,43139.06010455198
2023-02-13,Neutral,46599.52110597311
2023-02-14,Neutral,44064.94237206465
2023-02-15,Neutral,43840.10406603226
2023-02-16,Fear,36243.18051698126
2023-02-17,Neutral,49080.27184441728
2023-02-18,Greed,51182.0241606523
2023-02-19,Greed,54523.623505666896
2023-02-20,Greed,53617.16261108691
2023-02-21,Fear,37652.59927438706
2023-02-22,Neutral,46515.12237379295
2023-02-23,Greed,53986.96077792079
2023-02-24,Neutral,43116.15181162005
2023-02-25,Fear,38085.73518403524
2023-02-26,Greed,49823.29706623264
2023-02-27,Fear,33205.93555611001
2023-02-28,Fear,32807.06995008363
2023-03-01,Greed,49283.489618612
2023-03-02,Fear,29475.747522457354
2023-03-03,Neutral,43614.40535699097
2023-03-04,Greed,49875.658591755404
2023-03-05,Greed,50346.17239130736
2023-03-06,Fear,30949.25191865801
2023-03-07,Neutral,45296.3145375666
2023-03-08,Neutral,45375.91438065495
2023-03-09,Neutral,45957.918662539356
2023-03-10,Greed,54815.056539902565
2023-03-11,Greed,53207.092683864015
2023-03-12,Neutral,47934.12505182937
2023-03-13,Greed,49732.34537932599
2023-03-14,Greed,58560.42659012044
2023-03-15,Fear,33345.662667406614
2023-03-16,Neutral,47461.41179590268
2023-03-17,Neutral,48303.10175152988
2023-03-18,Fear,34682.214195358014
2023-03-19,Fear,37352.59369672343
2023-03-20,Fear,31357.30975892619
2023-03-21,Neutral,46382.17833298482
2023-03-22,Greed,52453.18751889987
2023-03-23,Fear,27052.192144544835
2023-03-24,Fear,38036.25630372984
2023-03-25,Greed,51907.51069006018
2023-03-26,Fear,34271.40654221632
2023-03-27,Greed,54005.916582058875
2023-03-28,Neutral,44862.91722400632
2023-03-29,Fear,39952.704832953204
2023-03-30,Neutral,46494.636558723774
2023-03-31,Neutral,42741.02715508743
2023-04-01,Neutral,45506.3443115358
2023-04-02,Fear,37954.93412485605
2023-04-03,Neutral,44086.6670372399
2023-04-04,Greed,51555.95269329588
2023-04-05,Greed,47552.122165724315
2023-04-06,Greed,45311.8510497545
2023-04-07,Greed,53274.04992714746
2023-04-08,Neutral,43247.444628862766
2023-04-09,Greed,52837.053392251764
2023-04-10,Fear,36352.374514795076
2023-04-11,Neutral,47356.987209971885
2023-04-12,Neutral,43988.9554019052
2023-04-13,Neutral,42018.79068288899
2023-04-14,Neutral,44484.229883355525
2023-04-15,Neutral,45629.76156477865
2023-04-16,Fear,37197.22497959393
2023-04-17,Neutral,43583.51640489418
2023-04-18,Neutral,45397.89078857091
2023-04-19,Greed,53373.75016216175
2023-04-20,Fear,31663.7508688212
2023-04-21,Fear,37860.7290531484
2023-04-22,Greed,52830.91232758846
2023-04-23,Neutral,48138.60461579929
2023-04-24,Fear,36351.743139447324
2023-04-25,Greed,56171.10199582428
2023-04-26,Neutral,45402.75158860892
2023-04-27,Neutral,45517.436243197124
2023-04-28,Greed,53138.39700966427
2023-04-29,Neutral,43270.84407967113
2023-04-30,Fear,35487.21221897211
2023-05-01,Neutral,45163.819681527115
2023-05-02,Greed,55240.511435039836
2023-05-03,Fear,30897.403251253956
2023-05-04,Neutral,41998.4745709132
2023-05-05,Fear,32581.030179208305
2023-05-06,Greed,55338.07808678284
2023-05-07,Neutral,47744.19483514797
2023-05-08,Neutral,46572.723198744236
2023-05-09,Fear,36156.24557811851
2023-05-10,Neutral,48935.84394782456
2023-05-11,Neutral,45326.69903380705
2023-05-12,Neutral,46268.54936233847
2023-05-13,Greed,55334.90418971008
2023-05-14,Neutral,46577.906407171045
2023-05-15,Greed,51399.7002208868
2023-05-16,Greed,50582.74613277857
2023-05-17,Greed,52207.72178340595
2023-05-18,Neutral,46367.76630915481
2023-05-19,Greed,60695.66222644779
2023-05-20,Fear,36140.57291773373
2023-05-21,Neutral,42958.31141429853
2023-05-22,Greed,58156.527373004625
2023-05-23,Greed,47680.768071767954
2023-05-24,Neutral,44774.388016949524
2023-05-25,Neutral,43091.23437192996
2023-05-26,Greed,44802.92115917611
2023-05-27,Greed,46893.29616198724
2023-05-28,Greed,51565.187060217344
2023-05-29,Neutral,45891.65250247634
2023-05-30,Neutral,45388.25185062818
2023-05-31,Greed,56309.27532746108
2023-06-01,Greed,53108.47448399545
2023-06-02,Greed,53922.45701472396
2023-06-03,Neutral,43903.77407000214
2023-06-04,Fear,33627.10207302133
2023-06-05,Neutral,46324.81636370793
2023-06-06,Fear,32367.675746160687
2023-06-07,Neutral,46169.572596064725
2023-06-08,Neutral,43548.83594729252
2023-06-09,Fear,32220.249517091448
2023-06-10,Greed,48441.72301676237
2023-06-11,Fear,32933.45265485112
2023-06-12,Neutral,44641.02527922478
2023-06-13,Neutral,48061.379387806286
2023-06-14,Greed,53139.433696194246
2023-06-15,Neutral,45371.13023003521
2023-06-16,Fear,34463.485625468464
